id;reg_num;expiration;mark;type;manufacturer;owner;group_name;how_to_use;atx_code;name;condition
35;DV/M 01450/04/17;27.04.2027;БРИЛЛИАНТОВЫЙ ЗЕЛЕНЫЙ;Раствор спиртовой;ЧП Ziyo Nur Farm Узбекистан;ЧП Ziyo Nur Farm Узбекистан;Антисептическое средство;для наружного и местного применения;D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
36;DV/X 06030/03/19;18.11.2029;ДЕПАНТОЛ®;Суппозитории вагинальные;АО Нижфарм Российская Федерация;АО Нижфарм Российская Федерация;Антисептики и противомикробные препараты для лечения гинекологических заболеваний (исключая комбинации с кортикостероидами). Прочие антисептики и противомикробные препараты для лечения гинекологических заболеваний;Внутри маточное;G01AX;Другие противомикробные препараты и антисептики;Без рецепта
37;DV/X 03609/09/17;14.11.2027;ЛИНИМЕНТ БАЛЬЗАМИЧЕСКИЙ ПО ВИШНЕВСКОМУ;Линимент;АО Алтайвитамины Российская Федерация;АО Алтайвитамины Российская Федерация;Антисептическое средство;Накожное введение (наружное);D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
38;DV/M 01442/04/17;13.04.2027;БРИЛЛИАНТОВЫЙ ЗЕЛЕНЫЙ;Раствор спиртовой;ООО Radiks Узбекистан;ООО Radiks Узбекистан;Антисептическое средство;для наружного и местного применения;D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
39;DV/M 01443/04/17;13.04.2027;БРИЛЛИАНТОВЫЙ ЗЕЛЕНЫЙ;Раствор спиртовой;ООО Radiks Узбекистан;ООО Radiks Узбекистан;Антисептическое средство;для наружного и местного применения;D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
40;DV/X 01581/04/16;09.04.2026;ДЕРМОБАКТЕР®;Раствор для наружного и местного применения;Innothera Chouzy Франция;Laboratoire Innotech International Франция;Антисептическое средство;для наружного и местного применения;D08AC52;Хлоргексидин в комбинации со средствами;Без рецепта
41;DV/X 05162/10/18;30.09.2030;ПАНТЕСЕПТ;Суппозитории вагинальные;ООО Рубикон Беларусь;ООО Рубикон Беларусь;Антисептическое средство;Влагалищное;G01AX;Другие противомикробные препараты и антисептики;Без рецепта
42;DV/X 05120/10/18;31.10.2029;ДЕБАРА;Таблетки для рассасывания;World Medicine Ilac San. ve Tic. A.S. Турция;World Medicine Ilac San. ve Tic. A.S. Турция;Препараты для лечения заболеваний горла. Антисептика. Прочие препараты;Внутрь;R02A;Препараты для лечения заболеваний горла;Без рецепта
43;DV/X 03461/08/17;14.10.2027;ТЕЙМУРОВА ПАСТА;Паста для наружного применения;ЗАО «Зеленая Дубрава» Российская Федерация;ЗАО «Зеленая Дубрава» Российская Федерация;Антибиотик+антисептическое средство;Накожное введение (наружное);D08AD;;Без рецепта
44;DV/X 03460/08/17;14.10.2027;ЛИНИМЕНТ БАЛЬЗАМИЧЕСКИЙ ПО ВИШНЕВСКОМУ;Линимент;ЗАО «Зеленая Дубрава» Российская Федерация;ЗАО «Зеленая Дубрава» Российская Федерация;Антисептическое средство;Накожное введение (наружное);D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
